Places,Latitude,Longitude
Paris,48.856613,2.352222
London,51.507351,-0.127758
Glasgow,55.864239,-4.251806
Hawaii,19.754426,-155.551568
Brisbane,-27.383333,152.118332
Dublin,53.4264,6.2499
